Wikipedia page,Text,Links
Inelastic collision,"In physics, an elastic collision is an encounter (collision) between two bodies  in which the total kinetic energy of the two bodies remains the same.",https://en.wikipedia.org/wiki/Inelastic_collision
Inertia,"In classical physics and special relativity, an inertial frame of reference  (also called inertial space, or Galilean reference frame) is a frame of reference not undergoing any acceleration.",https://en.wikipedia.org/wiki/Inertia
Moment of inertia,"The moment of inertia, otherwise known as the mass moment of inertia, angular mass, second moment of mass, or most accurately, rotational inertia, of a rigid body is a quantity that determines the torque needed for a desired angular acceleration about a rotational axis, akin to how mass determines the force needed for a desired acceleration.",https://en.wikipedia.org/wiki/Moment_of_inertia
Momentum,Exception occurred,https://en.wikipedia.org/wiki/Momentum
Kinetic energy,"In physics, the kinetic energy of an object is the form of energy that it possesses due to its motion.In classical mechanics, the kinetic energy of a non-rotating object of mass m traveling at a speed v is





            1
            2


        m

          v

            2




    {\textstyle {\frac {1}{2}}mv^{2}}
  .It can be shown that the kinetic energy of an object is equal to the work needed to accelerate an object of mass m from rest to its stated velocity.",https://en.wikipedia.org/wiki/Kinetic_energy
Potential energy,"In physics, potential energy is the energy held by an object because of its position relative to other objects, stresses within itself, its electric charge, or other factors.",https://en.wikipedia.org/wiki/Potential_energy
Rotational energy,Rotational energy or angular kinetic energy is kinetic energy due to the rotation of an object and is part of its total kinetic energy.,https://en.wikipedia.org/wiki/Rotational_energy
Ampère's circuital law,"In classical electromagnetism, Ampère's circuital law (not to be confused with Ampère's force law) relates the circulation of a magnetic field around a closed loop to the electric current passing through the loop.",https://en.wikipedia.org/wiki/Amp%C3%A8re%27s_circuital_law
Capacitor,Exception occurred,https://en.wikipedia.org/wiki/Capacitor
Coulomb's law,"Coulomb's inverse-square law, or simply Coulomb's law, is an experimental law of physics that calculates the amount of force between two electrically charged particles at rest.",https://en.wikipedia.org/wiki/Coulomb%27s_law
Diode,An oxide () is a chemical compound containing at least one oxygen atom and one other element in its chemical formula.,https://en.wikipedia.org/wiki/Diode
Direct current,Direct current (DC) is one-directional flow of electric charge.,https://en.wikipedia.org/wiki/Direct_current
Electric charge,Exception occurred,https://en.wikipedia.org/wiki/Electric_charge
Electric current,Exception occurred,https://en.wikipedia.org/wiki/Electric_current
Alternating current,Exception occurred,https://en.wikipedia.org/wiki/Alternating_current
Electric field,Exception occurred,https://en.wikipedia.org/wiki/Electric_field
Electric potential energy,Electric potential energy is a potential energy (measured in joules) that results from conservative Coulomb forces and is associated with the configuration of a particular set of point charges within a defined system.,https://en.wikipedia.org/wiki/Electric_potential_energy
Electron,An election is a formal group decision-making process by which a population chooses an individual or multiple individuals to hold public office.,https://en.wikipedia.org/wiki/Electron
Faraday's law of induction,Faraday's law of induction (or simply Faraday's law) is a basic law of electromagnetism predicting how a magnetic field will interact with an electric circuit to produce an electromotive force (emf)—a phenomenon known as electromagnetic induction.,https://en.wikipedia.org/wiki/Faraday%27s_law_of_induction
Ion,The lion (Panthera leo) is a large cat of the genus Panthera native to Africa and India.,https://en.wikipedia.org/wiki/Ion
Inductor,Exception occurred,https://en.wikipedia.org/wiki/Inductor
Joule heating,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Joule_heating
Lenz's law,Exception occurred,https://en.wikipedia.org/wiki/Lenz%27s_law
Magnetic field,"A magnetic field is a vector field that describes the magnetic influence on moving electric charges, electric currents,: ch1  and magnetic materials.",https://en.wikipedia.org/wiki/Magnetic_field
Ohm's law,Exception occurred,https://en.wikipedia.org/wiki/Ohm%27s_law
Resistor,Exception occurred,https://en.wikipedia.org/wiki/Resistor
Transistor,Exception occurred,https://en.wikipedia.org/wiki/Transistor
Transformer,Exception occurred,https://en.wikipedia.org/wiki/Transformer
Voltage,Exception occurred,https://en.wikipedia.org/wiki/Voltage
Entropy,Exception occurred,https://en.wikipedia.org/wiki/Entropy
First law of thermodynamics,Exception occurred,https://en.wikipedia.org/wiki/First_law_of_thermodynamics
Heat,The heart is a muscular organ in most animals.,https://en.wikipedia.org/wiki/Heat
Heat transfer,Exception occurred,https://en.wikipedia.org/wiki/Heat_transfer
Second law of thermodynamics,The second law of thermodynamics is a physical law based on universal empirical observation concerning heat and energy interconversions.,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics
Temperature,Temperature is a physical quantity that expresses quantitatively the attribute of hotness or coldness.,https://en.wikipedia.org/wiki/Temperature
Thermal energy,"The term ""thermal energy"" is used loosely in various contexts in physics and engineering, generally related to the kinetic energy of vibrating and colliding atoms in a substance.",https://en.wikipedia.org/wiki/Thermal_energy
Thermodynamic cycle,"A thermodynamic cycle consists of linked sequences of thermodynamic processes that involve transfer of heat and work into and out of the system, while varying pressure, temperature, and other state variables within the system, and that eventually returns the system to its initial state.",https://en.wikipedia.org/wiki/Thermodynamic_cycle
Volume (thermodynamics),"In thermodynamics, the volume of a system is an important extensive parameter for describing its thermodynamic state.",https://en.wikipedia.org/wiki/Volume_(thermodynamics)
Work (thermodynamics),Thermodynamic work is one of the principal processes by which a thermodynamic system can interact with its surroundings and exchange energy.,https://en.wikipedia.org/wiki/Work_(thermodynamics)
Wave,A wife (PL: wives) is a woman in a marital relationship.,https://en.wikipedia.org/wiki/Wave
Longitudinal wave,Longitudinal waves are waves in which the vibration of the medium is parallel to the direction the wave travels and displacement of the medium is in the same (or opposite) direction of the wave propagation.,https://en.wikipedia.org/wiki/Longitudinal_wave
Transverse waves,"In physics, a transverse wave is a wave that oscillates perpendicularly to the direction of the wave's advance.",https://en.wikipedia.org/wiki/Transverse_waves
Transverse wave,"In physics, a transverse wave is a wave that oscillates perpendicularly to the direction of the wave's advance.",https://en.wikipedia.org/wiki/Transverse_wave
Standing Waves,"In physics, a standing wave, also known as a stationary wave, is a wave that oscillates in time but whose peak amplitude profile does not move in space.",https://en.wikipedia.org/wiki/Standing_Waves
Wavelength,"In physics and mathematics, wavelength or spatial period of a wave or periodic function is the distance over which the wave's shape repeats.",https://en.wikipedia.org/wiki/Wavelength
Frequency,"In grammar, a frequentative form (abbreviated FREQ or FR) of a word is one that indicates repeated action but is not to be confused with iterative aspect.",https://en.wikipedia.org/wiki/Frequency
Light,"Rights are legal, social, or ethical principles of freedom or entitlement; that is, rights are the fundamental normative rules about what is allowed of people or owed to people according to some legal system, social convention, or ethical theory.",https://en.wikipedia.org/wiki/Light
Light ray,"In optics, a ray is an idealized geometrical model of light or other electromagnetic radiation, obtained by choosing a curve that is perpendicular to the wavefronts of the actual light, and that points in the direction of energy flow.",https://en.wikipedia.org/wiki/Ray_(optics)
Speed of light,"The speed of light in vacuum, commonly denoted c, is a universal physical constant that is exactly equal to 299,792,458 metres per second (approximately 300,000 kilometres per second; 186,000 miles per second; 671 million miles per hour).",https://en.wikipedia.org/wiki/Speed_of_light
Sound,South is one of the cardinal directions or compass points.,https://en.wikipedia.org/wiki/Sound
Speed of sound,Exception occurred,https://en.wikipedia.org/wiki/Speed_of_sound
Radio waves,"Radio waves are a type of electromagnetic radiation with the longest wavelengths in the electromagnetic spectrum, typically with frequencies of 300 gigahertz (GHz) and below.",https://en.wikipedia.org/wiki/Radio_waves
Harmonic oscillator,"In classical mechanics, a harmonic oscillator is a system that, when displaced from its equilibrium position, experiences a restoring force F proportional to the displacement x:

where k is a positive constant.",https://en.wikipedia.org/wiki/Harmonic_oscillator
Hooke's law,Exception occurred,https://en.wikipedia.org/wiki/Hooke%27s_law
Reflection,An election is a formal group decision-making process by which a population chooses an individual or multiple individuals to hold public office.,https://en.wikipedia.org/wiki/Reflection_(physics)
Refraction,Exception occurred,https://en.wikipedia.org/wiki/Refraction
Snell's law,Exception occurred,https://en.wikipedia.org/wiki/Snell%27s_law
Refractive index,"In optics, the refractive index (or refraction index) of an optical medium is a dimensionless number that gives the indication of the light bending ability of that medium.",https://en.wikipedia.org/wiki/Refractive_index
Total internal reflection,"In physics, total internal reflection (TIR) is the phenomenon in which waves arriving at the interface (boundary) from one medium to another (e.g., from water to air) are not refracted into the second (""external"") medium, but completely reflected back into the first (""internal"") medium.",https://en.wikipedia.org/wiki/Total_internal_reflection
Diffraction,Diffraction is the interference or bending of waves around the corners of an obstacle or through an aperture into the region of geometrical shadow of the obstacle/aperture.,https://en.wikipedia.org/wiki/Diffraction
Interference (wave propagation),"In physics, interference is a phenomenon in which two coherent waves are combined by adding their intensities or displacements with due consideration for their phase difference.",https://en.wikipedia.org/wiki/Interference_(wave_propagation)
Polarization (waves),Polarization (also polarisation) is a property of transverse waves which specifies the geometrical orientation of the oscillations.,https://en.wikipedia.org/wiki/Polarization_(waves)
Vibrating string,A vibration in a string is a wave.,https://en.wikipedia.org/wiki/Vibrating_string
Doppler effect,The Doppler effect (also Doppler shift) is the change in the frequency of a wave in relation to an observer who is moving relative to the source of the wave.,https://en.wikipedia.org/wiki/Doppler_effect
Gravitational potential,"In classical mechanics, the gravitational potential is a scalar field associating with each point in space the work (energy transferred) per unit mass that would be needed to move an object to that point from a fixed reference point.",https://en.wikipedia.org/wiki/Gravitational_potential
Newton's law of universal gravitation,Newton's law of universal gravitation is usually stated as that every particle attracts every other particle in the universe with a force that is proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation
Newtonian constant of gravitation,"The gravitational constant (also known as the universal gravitational constant, the Newtonian constant of gravitation, or the Cavendish gravitational constant), denoted by the capital letter G, is an empirical physical constant involved in the calculation of gravitational effects in Sir Isaac Newton's law of universal gravitation and in Albert Einstein's theory of general relativity.",https://en.wikipedia.org/wiki/Newtonian_constant_of_gravitation
Outline of physics,"The following outline is provided as an overview of and topical guide to physics:
Physics – natural science that involves the study of matter and its motion through spacetime, along with related concepts such as energy and force.",https://en.wikipedia.org/wiki/Outline_of_physics
Physics education,"Physical education, often abbreviated to Phys Ed.",https://en.wikipedia.org/wiki/Physics_education
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
9780195089868,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/9780195089868
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0-8011-1496-0,Exception occurred,https://en.wikipedia.org/wiki/Special:BookSources/978-0-8011-1496-0
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-1607200000,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/978-1607200000
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0030565441,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/978-0030565441
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0130606204,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/978-0130606204
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0840360250,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/978-0840360250
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
9780321052025,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/9780321052025
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0-309-05326-6,"Charles ""Topper"" Shutt is Chief Meteorologist at WUSA Channel 9 in Washington, D.C., and forecaster for WHUR-FM.


== Career ==
In 1981, Shutt began his television weather career with CNN in Atlanta, Georgia, working as a weather producer and substitute weather anchor.",https://en.wikipedia.org/wiki/Special:BookSources/978-0-309-05326-6
ISBN,"In linguistics, a copula (plural: copulas or copulae; abbreviated cop) is a word or phrase that links the subject of a sentence to a subject complement, such as the word is in the sentence ""The sky is blue"" or the phrase was not being in the sentence ""It was not being co-operative."" The word copula derives from the Latin noun for a ""link"" or ""tie"" that connects two different things.A copula is often a verb or a verb-like word, though this is not universally the case.",https://en.wikipedia.org/wiki/ISBN_(identifier)
978-0078458132,This is a list of topics that are included in high school physics curricula or textbooks.,https://en.wikipedia.org/wiki/Special:BookSources/978-0078458132
CCS,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML or XML (including XML dialects such as SVG, MathML or XHTML).",https://en.wikipedia.org/wiki/CCS
DC bias,"In signal processing, when describing a periodic function in the time domain, the DC bias, DC component, DC offset, or DC coefficient is the mean amplitude of the waveform.",https://en.wikipedia.org/wiki/DC_bias
Electric current,Exception occurred,https://en.wikipedia.org/wiki/Electric_current
High-voltage direct current power transmission.,"A high-voltage direct current (HVDC) electric power transmission system (also called a power superhighway or an electrical superhighway) uses direct current (DC) for electric power transmission, in contrast with the more common alternating current (AC) transmission systems.Most HVDC links use voltages between 100 kV and 800 kV. However, a 1,100 kV link in China was completed in 2019 over a distance of 3,300 km (2,100 mi) with a power capacity of 12 GW. With this dimension, intercontinental connections become possible which could help to deal with the fluctuations of wind power and photovoltaics.HVDC lines are commonly used for long-distance power transmission, since they require less conductor and incur fewer power losses than equivalent AC lines.",https://en.wikipedia.org/wiki/High-voltage_direct_current_power_transmission.
Neutral direct-current telegraph system,"In telecommunication, a neutral direct-current telegraph system (single-current system, single-current transmission system, single-Morse system) is a telegraph system in which (a) current flows during marking intervals and no current flows during spacing intervals for the transmission of signals over a line, and (b) the direction of current flow (electric polarity) is immaterial.",https://en.wikipedia.org/wiki/Neutral_direct-current_telegraph_system
Polarity symbols,"Polarity symbols are a notation for electrical polarity, found on devices that use direct current (DC) power, when this is or may be provided from an alternating current (AC) source via an AC adapter.",https://en.wikipedia.org/wiki/Polarity_symbols
Solar panel,A solar panel is a device that converts sunlight into electricity by using photovoltaic (PV) cells.,https://en.wikipedia.org/wiki/Solar_panel
Dielectric heating – Heating using radio waves,"Dielectric heating, also known as electronic heating, radio frequency heating, and high-frequency heating, is the process in which a radio frequency (RF) alternating electric field, or radio wave or microwave electromagnetic radiation heats a dielectric material.",https://en.wikipedia.org/wiki/Dielectric_heating_–_Heating_using_radio_waves
Heating element – Device that converts electricity into heat,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Heating_element_–_Device_that_converts_electricity_into_heat
Induction heating – Process of heating an electrically conducting object by electromagnetic induction,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Induction_heating_–_Process_of_heating_an_electrically_conducting_object_by_electromagnetic_induction
Joule's Second Law – Phenomenon of non-ideal fluids changing temperature while being forced through small spacesPages displaying short descriptions of redirect targets,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Joule's_Second_Law_–_Phenomenon_of_non-ideal_fluids_changing_temperature_while_being_forced_through_small_spacesPages_displaying_short_descriptions_of_redirect_targets
Molybdenum disilicide – chemical compoundPages displaying wikidata descriptions as a fallback,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Molybdenum_disilicide_–_chemical_compoundPages_displaying_wikidata_descriptions_as_a_fallback
Nichrome – Family of alloys of mainly nickel and chromium,"Nichrome (also known as NiCr, nickel-chromium or chromium-nickel) is a family of alloys of nickel and chromium (and occasionally iron) commonly used as resistance wire, heating elements in devices like toasters, electrical kettles and space heaters, in some dental restorations (fillings) and in a few other applications.",https://en.wikipedia.org/wiki/Nichrome_–_Family_of_alloys_of_mainly_nickel_and_chromium
Overheating (electricity) – Elevated temperature in an electric circuit,Exception occurred,https://en.wikipedia.org/wiki/Overheating_(electricity)_–_Elevated_temperature_in_an_electric_circuit
Resistance wire – wire with high resistivity used to create a resistorPages displaying wikidata descriptions as a fallback,"Joule heating (also known as resistive, resistance, or Ohmic heating) is the process by which the passage of an electric current through a conductor produces heat.",https://en.wikipedia.org/wiki/Resistance_wire_–_wire_with_high_resistivity_used_to_create_a_resistorPages_displaying_wikidata_descriptions_as_a_fallback
Thermal management (electronics) – Regulation of the temperature of electronic circuitry to prevent inefficiency or failure,All electronic devices and circuitry generate excess heat and thus require thermal management to improve reliability and prevent premature failure.,https://en.wikipedia.org/wiki/Thermal_management_(electronics)_–_Regulation_of_the_temperature_of_electronic_circuitry_to_prevent_inefficiency_or_failure
"Tungsten – Chemical element, symbol W and atomic number 74","Chemical symbols are the abbreviations used in chemistry for chemical elements, functional groups and chemical compounds.","https://en.wikipedia.org/wiki/Tungsten_–_Chemical_element,_symbol_W_and_atomic_number_74"
Bentley's paradox – Cosmological paradox involving gravity,Bentley's paradox (named after Richard Bentley) is a cosmological paradox pointing to a problem occurring when Newton's theory of gravitation is applied to cosmology.,https://en.wikipedia.org/wiki/Bentley's_paradox_–_Cosmological_paradox_involving_gravity
Gauss's law for gravity – Restatement of Newton's law of universal gravitation,Newton's law of universal gravitation is usually stated as that every particle attracts every other particle in the universe with a force that is proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,https://en.wikipedia.org/wiki/Gauss's_law_for_gravity_–_Restatement_of_Newton's_law_of_universal_gravitation
"Jordan and Einstein frames – different conventions for the metric tensor, in a theory of a dilaton coupled to gravityPages displaying wikidata descriptions as a fallback",Newton's law of universal gravitation is usually stated as that every particle attracts every other particle in the universe with a force that is proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,"https://en.wikipedia.org/wiki/Jordan_and_Einstein_frames_–_different_conventions_for_the_metric_tensor,_in_a_theory_of_a_dilaton_coupled_to_gravityPages_displaying_wikidata_descriptions_as_a_fallback"
Kepler orbit – Celestial orbit whose trajectory is a conic section in the orbital plane,"In celestial mechanics, a Kepler orbit (or Keplerian orbit, named after the German astronomer Johannes Kepler) is the motion of one body relative to another, as an ellipse, parabola, or hyperbola, which forms a two-dimensional orbital plane in three-dimensional space.",https://en.wikipedia.org/wiki/Kepler_orbit_–_Celestial_orbit_whose_trajectory_is_a_conic_section_in_the_orbital_plane
Newton's cannonball – Thought experiment about gravity,"Newton's cannonball was a thought experiment Isaac Newton used to hypothesize that the force of gravity was universal, and it was the key force for planetary motion.",https://en.wikipedia.org/wiki/Newton's_cannonball_–_Thought_experiment_about_gravity
Newton's laws of motion – Laws in physics about force and motion,Newton's laws of motion are three basic laws of classical mechanics that describe the relationship between the motion of an object and the forces acting on it.,https://en.wikipedia.org/wiki/Newton's_laws_of_motion_–_Laws_in_physics_about_force_and_motion
Social gravity – Social theory,Social gravity is a term relating social structure and socioeconomics to the theory of Newtonian gravity.,https://en.wikipedia.org/wiki/Social_gravity_–_Social_theory
Static forces and virtual-particle exchange – Physical interaction in post-classical physics,"Static force fields are fields, such as a simple electric, magnetic or gravitational fields, that exist without excitations.",https://en.wikipedia.org/wiki/Static_forces_and_virtual-particle_exchange_–_Physical_interaction_in_post-classical_physics
Applications of Legendre polynomials in physics,"In mathematics, Legendre polynomials, named after Adrien-Marie Legendre (1782), are a system of complete and orthogonal polynomials with a vast number of mathematical properties and numerous applications.",https://en.wikipedia.org/wiki/Applications_of_Legendre_polynomials_in_physics
Standard gravitational parameter (GM),"In celestial mechanics, the standard gravitational parameter μ of a celestial body is the product of the gravitational constant G and the mass M of the bodies.",https://en.wikipedia.org/wiki/Standard_gravitational_parameter_(GM)
Geoid,A geode (; from Ancient Greek  γεώδης (geṓdēs) 'earthlike') is a geological secondary formation within sedimentary and volcanic rocks.,https://en.wikipedia.org/wiki/Geoid
Geopotential,Geopotential is the potential of the Earth's gravity field.,https://en.wikipedia.org/wiki/Geopotential
Geopotential model,"In geophysics and physical geodesy, a geopotential model is the theoretical analysis of measuring and calculating the effects of Earth's gravitational field (the geopotential).",https://en.wikipedia.org/wiki/Geopotential_model
Fretted instruments,"A fret is any of the thin strips of material, usually metal wire, inserted laterally at specific positions along the neck or fretboard of a stringed instrument.",https://en.wikipedia.org/wiki/Fretted_instruments
Musical acoustics,"Musical acoustics or music acoustics is a multidisciplinary field that combines knowledge from physics, psychophysics, organology (classification of the instruments), physiology, music theory, ethnomusicology, signal processing and instrument building,  among other disciplines.",https://en.wikipedia.org/wiki/Musical_acoustics
Vibrations of a circular drum,A two-dimensional elastic membrane under tension can support transverse vibrations.,https://en.wikipedia.org/wiki/Vibrations_of_a_circular_drum
